殷丹丹，特定人，四组训练

EXPECTED       WRONGRESULT
w0056  w0118/w0222/w0020/w0185/w0171/w0010/w0056/w0205/w0041/w0092/
w0057  w0057/w0001/w0115/w0146/w0295/w0054/w0001/w0206/
w0058  w0059/w0154/w0063/w0034/w0092/
w0059  w0057/w0195/w0305/w0230/w0085/w0232/w0217/w0196/w0071/w0011/w0102/w0147/w0145/w0278/w0092/
w0060  w0118/w0001/w0191/w0113/w0059/
w0061  w0059/w0001/w0341/w0100/w0073/w0068/w0035/w0277/w0104/w0182/w0204/w0092/
w0062  w0057/w0222/w0183/w0333/w0210/w0230/w0049/w0148/w0057/
w0063  w0057/w0001/w0211/w0157/w0136/w0196/w0204/w0059/
w0064  w0118/w0222/w0183/w0333/w0218/w0231/w0030/w0246/w0096/w0363/w0242/w0141/w0163/w0105/w0010/w0092/
w0065  w0057/w0001/w0009/w0276/w0222/w0185/w0097/w0034/w0108/
w0066  w0059/w0210/w0147/w0118/
w0067  w0059/w0168/w0056/w0147/w0257/w0092/
w0068  w0092/w0113/w0249/w0218/w0102/w0161/w0110/w0213/w0019/w0355/w0116/w0339/w0080/w0025/w0118/
w0069  w0059/w0218/w0181/w0304/w0106/w0249/w0081/w0305/w0104/w0230/w0257/w0059/
w0070  w0118/w0002/w0037/w0212/w0326/w0234/w0243/w0091/w0010/w0092/
w0071  w0092/w0168/w0143/w0013/w0002/w0011/w0102/w0156/w0145/w0278/w0340/
w0072  w0308/w0108/w0167/w0212/w0102/w0057/w0130/w0207/w0031/w0269/w0117/w0200/w0276/w0059/
w0073  w0118/w0002/w0162/w0087/w0139/w0021/w0025/w0118/
w0074  w0057/w0109/w0129/w0200/w0161/w0229/w0059/
w0075  w0206/w0002/w0341/w0068/w0196/w0218/w0085/w0194/w0259/w0206/
w0076  w0057/w0231/w0041/w0296/w0238/w0168/w0307/w0199/w0068/w0116/w0092/
w0077  w0057/w0231/w0059/w0211/w0118/w0145/w0249/w0032/w0110/w0366/w0161/w0347/w0122/w0230/w0301/w0059/
w0078  w0118/w0168/w0196/w0112/w0200/w0161/w0146/w0295/w0224/w0059/
w0079  w0059/w0001/w0192/w0199/w0301/w0116/w0339/w0166/w0033/w0264/w0059/
w0080  w0059/w0222/w0304/w0161/w0237/w0196/w0009/w0102/w0056/w0230/w0053/w0137/w0136/w0059/
w0081  w0059/w0218/w0168/w0139/w0105/w0001/w0086/w0200/w0161/w0168/w0059/
w0082  w0059/w0108/w0157/w0014/w0249/w0127/w0162/w0085/w0105/w0034/w0265/w0023/w0148/w0306/w0059/
w0083  w0057/w0222/w0178/w0218/w0231/w0102/w0063/w0161/w0010/
w0084  w0059/w0011/w0307/w0113/w0160/w0059/
w0085  w0059/w0061/w0166/w0025/w0143/w0293/w0148/w0224/w0118/
w0086  w0302/w0222/w0218/w0222/w0077/w0090/w0143/w0019/w0125/w0187/w0137/w0326/w0025/w0059/
w0087  w0059/w0092/w0143/w0177/w0019/w0074/w0117/w0025/w0059/
w0088  w0059/w0222/w0368/w0044/w0210/w0143/w0293/w0068/w0025/w0118/
w0089  w0059/w0077/w0143/w0068/w0102/w0056/w0230/w0258/w0059/
w0090  w0118/w0077/w0143/w0068/w0236/w0170/w0070/w0369/w0074/w0118/
w0091  w0118/w0222/w0183/w0152/w0341/w0197/w0143/w0095/w0339/w0118/
w0092  w0118/w0212/w0224/w0202/w0344/w0315/w0041/w0170/w0026/w0004/w0025/w0118/
w0093  w0059/w0057/w0197/w0075/w0291/w0170/w0336/w0152/w0010/w0108/
w0094  w0118/w0177/w0026/w0177/w0284/w0011/w0003/w0048/w0222/w0057/w0025/w0059/
w0095  w0059/w0087/w0222/w0022/w0270/w0034/w0133/w0316/w0118/
w0096  w0118/w0046/w0002/w0069/w0302/w0049/w0042/w0010/
w0097  w0078/w0147/w0046/w0162/w0043/w0059/
w0098  w0059/w0034/w0293/w0034/w0161/w0011/w0182/w0131/w0059/
w0099  w0057/w0168/w0174/w0011/w0196/w0069/w0161/w0000/w0059/
451.243988Delete = 9, Insert= 426, Substitue = 276, Correct = 231
Recong = 0.245223, All error = 711, Right = 231
